!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57665.4684954   -0.912          -0.094        
 57671.4724242   -0.481          -0.056        
 57671.4808983   -2.145          -0.081        
 57674.5520935   -0.468          0.24          
 57674.5610499   -2.205          0.117         
 57674.562272    -1.44           0.616         
 57678.4915875   -0.57           0.208         
 57678.5000951   -2.271          -0.009        
 57680.5261871   -0.679          0.121         
 57684.5233255   -0.654          0.241         
 57685.4794909   -0.707          0.111         
 57685.4880036   -2.418          0.023         
 57686.4373375   -2.429          -0.055        
 57687.5097458   -1.171          0.069         
 57687.5187041   -1.671          0.534         
 57690.5022829   -0.845          0.556         
 57690.5103136   -2.318          -0.107        
 57692.4743732   -0.038          0.171         
 57692.4828781   -1.705          0.159         
 57694.4833658   -0.627          0.663         
 57699.4471216   -0.544          -0.115        
